Name,Property,Branch,Date,Location,Week
Orientation,,,"September 4, 2024 6:00 PM (EDT) → 9:00 PM",BK 010,-
HW Bootcamps,,,"September 5, 2024 6:00 PM (EDT) → 8:00 PM",RI 228,-
SW Design Bootcamp,,,"September 5, 2024 6:00 PM (EDT) → 8:00 PM",Sherm Lobby,-
SW Engineering Bootcamp,,,"September 7, 2024 11:00 AM (EDT) → 1:00 PM",300 Mass Ave,-
21+ Night,,,"September 6, 2024",Cheeky Monkey,-
Welcome Barbecue,,,"September 7, 2024 1:30 PM (EDT)",,-
First week of team meetings,,,"September 9, 2024 → September 12, 2024",,-
First day of classes,,,"September 4, 2024",,-
HW Design Reviews,,,"September 23, 2024 → September 26, 2024",Makerspace,-
SW Concept Demo,,,"September 30, 2024 7:30 PM (EDT) → 9:00 PM",EXP 203,-
SW Guest Speaker: Theo Browne,,,"October 4, 2024 6:00 PM (EDT) → 7:30 PM",EXP 202,-
Indigenous People’s Day Weekend,,,"October 11, 2024 → October 14, 2024",,-
Staycation,,,"October 17, 2024 → October 19, 2024",,-
All Hands,,,"October 24, 2024 6:00 PM (EDT) → 9:30 PM",SN 168,-
Veteran’s Day Weekend,,,"November 9, 2024 → November 11, 2024",,-
Thanksgiving Break,,,"November 27, 2024 → December 1, 2024",,-
Last day of classes,,,"December 4, 2024",,-
Showcase!,frank,,"December 5, 2024 7:00 PM (EST) → 9:00 PM",Curry Ballroom,-
Forge Showcase,,,"December 4, 2024",,-
Last day of finals,,,"December 13, 2024",,-
Client Handoffs due,,,"December 20, 2024",,-
First day of Spring,,All Generate,"January 6, 2025",,W00
Spring Orientation,,All Generate,"January 6, 2025 6:00 PM (EST) → 9:00 PM",ISEC 102,W00
Showcase Practice,,,"November 13, 2024 7:00 PM (EST) → 9:00 PM",EXP 201,-
Entrepreneurship & Innovation Kickoff,Chirag Chadha,,"September 25, 2024 5:30 PM (EDT) → 7:30 PM",,-
Cooper Visit!,,,"October 23, 2024 5:45 PM (EDT) → 6:45 PM",,-
Generate x Relativity Spaces,,,"September 25, 2024",,-
Churn up the Dance Floor,,,"September 28, 2024 12:00 AM (EDT) → 4:00 AM",878 Massachusetts Avenue Cambridge MA 02139,-
Board Game Bonanza,"Josephine, Melina",,"October 2, 2024",Sherm Lobby,-
Leadership Event w Theo,,,"October 28, 2024 7:00 PM (EDT) → 8:00 PM",SL 115,-
GENERAVE,,,"October 5, 2024",,-
Generate x TAMID,,,"October 16, 2024",,-
Sherman Center Focus Group 🍕,"Joshua Lustig , Linda Yan",,"November 4, 2024",Sherm Lobby,-
Buddies Pizza Party,"Joshua Lustig ",,"October 8, 2024 7:00 PM (EDT) → 9:00 PM",Sherm Lobby,-
Product Management in Tech Workshop,"Josephine, Eunseo, Chirag Chadha, frank",,"October 29, 2024 7:00 PM (EDT) → 8:00 PM",SL 043,-
Potluck: Friendsgiving,Josephine,,"November 14, 2024 7:00 PM (EST) → 8:30 PM",Ryder 283,-
LEGO MY EGOz,Josephine,,"November 18, 2024 7:00 PM (EST) → 8:00 PM",Sherm Lobby,-
Assassins: Among Us,"Joshua Lustig ",,"November 21, 2024 8:00 PM (EST)",Sherm Lobby,-
Wellbeing Event,Josephine,,"December 3, 2024 6:00 PM (EST) → 7:00 PM",Sherm Lobby,-
Generate Alumni & Graduating Seniors Brunch,"Chirag Chadha, Jay Sella, Josephine",,"December 7, 2024 1:00 PM (EST) → 3:00 PM",TBD,-
Spring Showcase,,All Generate,"April 11, 2025 7:00 PM (EDT)",ISEC 102,W12
MLK Weekend,,All Generate,"January 17, 2025 → January 20, 2025",,W01
President’s Day Weekend,,All Generate,"February 14, 2025 → February 17, 2025",,W05
Spring Break,,All Generate,"February 28, 2025 → March 9, 2025",,W07
Last day of classes,,All Generate,"April 15, 2025",,W13
"Reading Day ",,All Generate,"April 16, 2025",,W13
Staycation,,All Generate,"February 21, 2025 → February 22, 2025",,W06
Generate After Dark (DJ Chiggy @ OHE),,All Generate,"February 8, 2025 10:00 PM (EST)",OHE,W04
Game Night (Jeopardy!),,All Generate,"February 6, 2025 5:30 PM (EST) → 6:30 PM",Forsyth 242,W04
HW Bootcamp + Social,,Hardware,"January 7, 2025 6:30 PM (EST) → 8:30 PM","Makerspace,HA 222",W00
HW Design Reviews,,Hardware,"January 27, 2025 → January 30, 2025",,W03
SW Concept Demo,"Eunseo, Linwood Blaisdell",Software,"January 28, 2025 7:00 PM (EST) → 9:00 PM",EXP 204,W03
1st team meetings,,All Generate,"January 13, 2025 → January 16, 2025",,W01
Showcase Slides,,,"March 17, 2025 → March 20, 2025",,W09
Showcase Intro (for Speakers),,,"March 13, 2025 7:30 PM (EDT) → 8:00 PM",HA 321,W08
Showcase Practice,,,"April 1, 2025 8:00 PM (EDT) → 10:00 PM",EXP 201,W11
Last team meetings,,,"April 7, 2025 → April 10, 2025",,W12
Senior & Alumni Brunch,,All Generate,"April 12, 2025",300 Mass Ave,W12
Sherm Alumni Day,,All Generate,"April 12, 2025",,W12
Showcase Practice,,,"April 7, 2025 8:00 PM (EDT) → 10:00 PM",EXP 202,W12
Showcase Practice,,,"April 9, 2025 8:00 PM (EDT) → 10:00 PM",ISEC 102,W12
Decisions Day,,All Generate,"January 2, 2025",,W-1
Alumni Mentorship Program Kickoff,,All Generate,"January 22, 2025 8:00 PM (EST)",Forsyth 150,W02
Data Solutions Bootcamp,,Operations,"January 8, 2025 6:00 PM (EST) → 7:30 PM",Conference Room,W00
All Operations First Meeting + Hangout,,Operations,"January 9, 2025 6:00 PM (EST) → 7:30 PM",Conference Room,W00
Morale Spending Deadline,,All Generate,"February 17, 2025",,W06
http://TAZI.AI (Generate x Galante),,"All Generate, Operations, Software","January 30, 2025 5:30 PM (EST) → 8:00 PM",Egan 440,W03
Makerspace Trainings,,"All Generate, Hardware","January 13, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W01
DS Prototype Demos,"Urvi Bhojani, sonal gupta, Anna Birge",Operations,"January 27, 2025 7:00 PM (EST) → 8:15 PM",Sherm Lobby,W03
Data Solutions Potluck,Anna Birge,Operations,"January 23, 2025 7:30 PM (EST)",Conference Room,W02
St. Patricks Day,,,"March 17, 2025",,W09
Beanpot Championship/Consolation,,"All Generate, MGMT","February 10, 2025",,W05
Beanpot Semifinals,,"All Generate, MGMT","February 3, 2025 8:00 PM (EST)",,W04
OPS <> EMGNT Mixer,,"Engagement, Operations","February 5, 2025 6:30 PM (EST) → 8:00 PM",Dodge 170,W04
Superbowl Sunday,,"All Generate, MGMT","February 9, 2025",,W04
Buddies First Event,,All Generate,"February 18, 2025 7:00 PM (EST) → 8:30 PM",Mugar Hall 105,W06
HW <> SW Kickback,,"Hardware, Software","March 18, 2025 7:00 PM (EDT) → 8:00 PM",Hayden 424,W09
All Hands Potluck,,All Generate,"February 21, 2025 7:00 PM (EST) → 8:30 PM",Sherman center Lobby & Conference Room,W06
Field Day,,All Generate,"February 22, 2025 11:00 AM (EST) → 1:00 PM",Meet in Sherm Lobby,W06
Visit from Ryder,,All Generate,"February 14, 2025 1:00 PM (EST) → 2:00 PM",Sherman Center Lobby,W05
Spill the Tea,,All Generate,"April 1, 2025 7:00 PM (EDT)",SL 009,W11
Giving Day,,MGMT,"April 10, 2025",,W12
Hardware Reviews with Motiv Design,,Hardware,"March 12, 2025 4:00 PM (EDT) → 8:00 PM",TBD,W08
Schneider Electric Workshop,,Hardware,"March 11, 2025 7:00 PM (EDT) → 8:30 PM",Makerspace,W08
Alumni Panel,,All Generate,"March 17, 2025 → March 21, 2025",,W09
OPS Mixer?,,Operations,"March 31, 2025 → April 4, 2025",,W11
Data Solutions Connect,,Operations,"March 13, 2025 8:30 PM (EDT) → 9:30 PM",HA 008B,W08
Showcase Practice,,,"November 19, 2024 8:00 PM (EST) → 10:00 PM",EXP 201,-
Showcase Practice,,,"December 2, 2024 7:00 PM (EST) → 9:00 PM",EXP 201,-
Post All Hands | TimeOut Market,,All Generate,"February 20, 2025 9:00 PM (EST) → 11:00 PM",Time Out Market,W06
All Hands,,All Generate,"February 20, 2025 7:00 PM (EST) → 9:00 PM",CH 101,W06
Bob Ross Paint Night,,All Generate,"March 19, 2025 6:00 PM (EDT) → 7:00 PM",TBD,W09
Cookie Decorating,,All Generate,"March 25, 2025",,W10
Showcase Slides,,,"March 24, 2025 → March 27, 2025",,W10
Lead + Chief Bootcamp,,All Generate,"January 8, 2025 7:30 PM (EST) → 8:30 PM",Makerspace,W00
SW Social,,Software,"January 11, 2025 1:00 PM (EST) → 3:00 PM",,W00
Figma Bootcamp,,"Engagement, Software","January 11, 2025 → January 11, 2025",Sherm Lobby,W00
All Engagement First Meeting + Hangout,Chirag Chadha,Engagement,"January 9, 2025 6:00 PM (EST) → 7:30 PM",Makerspace,W00
SWE Bootcamp,,Software,"January 11, 2025 → January 11, 2025",Makerspace,W00
HW Workshop,,Hardware,"January 15, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W01
HW Workshop,,Hardware,"January 22, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W02
HW Workshop,,Hardware,"January 29, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W03
HW Workshop,,Hardware,"February 19, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W06
HW Workshop,,Hardware,"February 12, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W05
HW Workshop,,Hardware,"February 26, 2025 6:30 PM (EST) → 7:30 PM",Makerspace,W07
HW Workshop,,Hardware,"March 12, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W08
HW Workshop,,Hardware,"March 19, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W09
HW Workshop,,Hardware,"April 2, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W11
HW Workshop,,Hardware,"March 26, 2025 6:30 PM (EDT) → 7:30 PM",Makerspace,W10
Showcase After Dark,,All Generate,"April 11, 2025 10:00 PM (EDT)",TBD,W12
Howl At the Moon 21+ Night,,All Generate,"March 21, 2025 10:00 PM (EDT)",TBD,W09
COE Winter Club Fair,Chirag Chadha,All Generate,"January 15, 2025 6:00 PM (EST) → 7:30 PM",Curry Ballroom,W01
"SW Featurethon ",Linwood Blaisdell,Software,"March 29, 2025 12:00 PM (EDT) → 9:00 PM",,W10
All Hands After Dark,,All Generate,"February 22, 2025 10:00 PM (EST)","MYSTERY LOCATION ",W06
SW Grind Session,Linwood Blaisdell,Software,"February 15, 2025 12:00 PM (EST) → 3:00 PM",Sherm,W05
SW Design Crit,"Omid Daliri, Erin Lee, Linwood Blaisdell",Software,"February 13, 2025 6:00 PM (EST) → 7:00 PM",Snell 003,W05
OPS Kickback?,,Operations,"March 20, 2025 6:30 PM (EDT) → 7:30 PM",TBD,W09
Data Solutions Connect,,Operations,"April 3, 2025 8:30 PM (EDT) → 8:30 PM",HA 008B,W11